,Year,Team,Rank,GateRevenue,OtherRevenue,TotalRevenues,PlayerExpenses,OtherExpenses,TotalExpenses,Operatingincome,Year2,City,CityPopulation(in thousand),Attendance(in thousand),State,StateMedianIncome(2021$in thousand),WinningTotal
0,2000-2001,Atlanta Hawks,,,,76.0,42.2,28.0,,5.8,2000,Atlanta city,417.534,560.324,Georgia,41.901,25.0
1,2000-2001,Boston Celtics,,,,81.0,49.5,21.7,,9.8,2000,Boston city,591.844,629.201,Massachusetts,46.753,36.0
2,2000-2001,Brooklyn Nets,,,,73.0,59.7,24.6,,-11.3,2000,Brooklyn city,11.513,,New York,40.744,26.0
3,2000-2001,Charlotte Hornets,,,,65.0,49.4,16.1,,-0.5,2000,Charlotte city,577.676,615.424,North Carolina,38.317,46.0
4,2000-2001,Chicago Bulls,,,,117.0,32.7,32.6,,51.7,2000,Chicago city,2891.582,888.654,Illinois,46.064,15.0
5,2000-2001,Cleveland Cavaliers,,,,75.0,47.8,20.1,,7.1,2000,Cleveland city,475.755,650.775,Ohio,42.962,30.0
6,2000-2001,Dallas Mavericks,,,,68.0,59.9,31.5,,-23.4,2000,Dallas city,1188.168,680.138,Texas,38.609,53.0
7,2000-2001,Denver Nuggets,,,,72.0,54.8,24.8,,-7.6,2000,Denver city,555.651,619.3,Colorado,48.24,40.0
8,2000-2001,Detroit Pistons,,,,92.0,40.5,33.5,,18.0,2000,Detroit city,946.24,607.323,Michigan,45.512,32.0
9,2000-2001,Golden State Warriors,,,,69.0,44.9,21.2,,2.9,2000,San Francisco city,777.885,591.981,California,46.816,17.0
10,2000-2001,Houston Rockets,,,,81.0,52.3,24.9,,3.8,2000,Houston city,1974.324,518.555,Texas,38.609,45.0
11,2000-2001,Indiana Pacers,,,,89.0,57.6,30.7,,0.7,2000,Indianapolis city,,733.444,Indiana,40.865,41.0
12,2000-2001,Los Angeles Clippers,,,,68.0,32.6,23.9,,11.5,2000,Los Angeles city,3701.062,599.448,California,46.816,31.0
13,2000-2001,Los Angeles Lakers,,,,144.0,65.1,47.8,,31.1,2000,Los Angeles city,3701.062,776.336,California,46.816,56.0
14,2000-2001,Memphis Grizzlies,,,,53.0,51.2,15.1,,-13.3,2000,Memphis city,688.137,563.218,Tennessee,34.096,23.0
15,2000-2001,Miami Heat,,,,99.0,66.9,30.8,,1.3,2000,Miami city,362.453,677.186,Florida,38.856,50.0
16,2000-2001,Milwaukee Bucks,,,,65.0,60.4,20.9,,-16.3,2000,Milwaukee city,596.382,683.125,Wisconsin,45.088,52.0
17,2000-2001,Minnesota Timberwolves,,,,77.0,50.2,22.6,,4.2,2000,Minneapolis city,383.063,717.371,Minnesota,54.251,47.0
18,2000-2001,New York Knicks,,,,157.0,81.6,46.9,,28.5,2000,New York city,8017.608,810.283,New York,40.744,48.0
19,2000-2001,Oklahoma City Thunder,,,,80.0,53.6,24.3,,2.1,2000,Oklahoma city,,,Oklahoma,32.432,44.0
20,2000-2001,Orlando Magic,,,,76.0,40.0,22.7,,13.3,2000,Orlando city,196.109,605.031,Florida,38.856,43.0
21,2000-2001,Philadelphia 76ers,,,,103.0,53.6,38.3,,11.1,2000,Philadelphia city,1514.563,805.692,Pennsylvania,42.176,56.0
22,2000-2001,Phoenix Suns,,,,102.0,45.5,31.3,,25.2,2000,Phoenix city,1326.682,737.596,Arizona,39.783,51.0
23,2000-2001,Portland Trail Blazers,,,,101.0,89.5,30.8,,-19.3,2000,Portland city,529.845,831.385,Oregon,42.499,50.0
24,2000-2001,Sacramento Kings,,,,87.0,49.1,27.9,,10.0,2000,Sacramento city,408.593,709.997,California,46.816,55.0
25,2000-2001,San Antonio Spurs,,,,82.0,60.2,24.2,,-2.4,2000,San Antonio city,1153.843,913.175,Texas,38.609,58.0
26,2000-2001,Toronto Raptors,,,,75.0,40.9,29.0,,5.1,2000,Toronto city,564.8,793.256,Ontario,,47.0
27,2000-2001,Utah Jazz,,,,88.0,56.7,28.8,,2.5,2000,Salt Lake city,,792.196,Utah,47.55,53.0
28,2000-2001,Washington Wizards,,,,81.0,62.1,24.6,,-5.7,2000,Washington city,572.046,638.653,District of Columbia,41.222,19.0
29,2001-2002,Atlanta Hawks,,,,79.0,46.6,28.2,,4.2,2001,Atlanta city,414.692,506.11,Georgia,42.576,33.0
30,2001-2002,Boston Celtics,,,,96.0,47.8,30.8,,17.4,2001,Boston city,598.208,659.751,Massachusetts,52.253,49.0
31,2001-2002,Brooklyn Nets,,,,91.0,53.9,32.6,,4.5,2001,Brooklyn city,11.496,,New York,42.114,52.0
32,2001-2002,Charlotte Hornets,,,,64.0,50.2,22.1,,-8.3,2001,Charlotte city,591.176,462.738,North Carolina,38.162,44.0
33,2001-2002,Chicago Bulls,,,,115.0,42.9,33.0,,39.1,2001,Chicago city,2874.477,776.311,Illinois,46.171,21.0
34,2001-2002,Cleveland Cavaliers,,,,79.0,46.2,26.9,,5.9,2001,Cleveland city,468.329,596.115,Ohio,41.785,29.0
35,2001-2002,Dallas Mavericks,,,,105.0,58.2,43.6,,3.2,2001,Dallas city,1196.974,802.783,Texas,40.86,57.0
36,2001-2002,Denver Nuggets,,,,75.0,53.4,26.6,,-5.0,2001,Denver city,561.976,633.846,Colorado,49.397,27.0
37,2001-2002,Detroit Pistons,,,,95.0,42.3,39.8,,12.9,2001,Detroit city,927.136,760.807,Michigan,45.047,50.0
38,2001-2002,Golden State Warriors,,,,71.0,47.7,23.9,,-0.6,2001,San Francisco city,780.865,593.182,California,47.262,21.0
39,2001-2002,Houston Rockets,,,,82.0,49.5,25.8,,6.7,2001,Houston city,1979.589,481.227,Texas,40.86,28.0
40,2001-2002,Indiana Pacers,,,,91.0,53.5,34.4,,3.1,2001,Indianapolis city,,686.537,Indiana,40.379,42.0
41,2001-2002,Los Angeles Clippers,,,,73.0,34.2,22.5,,16.3,2001,Los Angeles city,3733.328,740.185,California,47.262,39.0
42,2001-2002,Los Angeles Lakers,,,,152.0,55.7,52.2,,44.1,2001,Los Angeles city,3733.328,778.877,California,47.262,58.0
43,2001-2002,Memphis Grizzlies,,,,66.0,44.9,20.5,,0.6,2001,Memphis city,682.522,591.03,Tennessee,35.783,23.0
44,2001-2002,Miami Heat,,,,96.0,53.1,34.8,,8.1,2001,Miami city,366.81,655.549,Florida,36.421,36.0
45,2001-2002,Milwaukee Bucks,,,,67.0,56.2,19.3,,-8.5,2001,Milwaukee city,595.396,745.305,Wisconsin,45.346,41.0
46,2001-2002,Minnesota Timberwolves,,,,85.0,54.9,21.3,,8.8,2001,Minneapolis city,383.563,731.673,Minnesota,52.681,50.0
47,2001-2002,New York Knicks,,,,156.0,85.7,45.2,,25.1,2001,New York city,8059.813,810.283,New York,42.114,30.0
48,2001-2002,Oklahoma City Thunder,,,,77.0,45.5,25.2,,6.3,2001,Oklahoma city,,,Oklahoma,35.609,45.0
49,2001-2002,Orlando Magic,,,,82.0,47.4,26.4,,8.2,2001,Orlando city,201.276,621.121,Florida,36.421,44.0
50,2001-2002,Philadelphia 76ers,,,,106.0,53.2,34.7,,18.1,2001,Philadelphia city,1505.455,842.976,Pennsylvania,43.499,43.0
51,2001-2002,Phoenix Suns,,,,107.0,55.7,32.8,,18.5,2001,Phoenix city,1342.908,668.939,Arizona,42.704,36.0
52,2001-2002,Portland Trail Blazers,,,,96.0,83.7,35.1,,-22.8,2001,Portland city,535.755,797.821,Oregon,41.273,49.0
53,2001-2002,Sacramento Kings,,,,102.0,55.1,33.4,,13.5,2001,Sacramento city,420.149,709.997,California,47.262,61.0
54,2001-2002,San Antonio Spurs,,,,83.0,46.4,28.3,,8.3,2001,San Antonio city,1161.68,906.39,Texas,40.86,58.0
55,2001-2002,Toronto Raptors,,,,87.0,52.8,29.7,,4.5,2001,Toronto city,557.6,811.135,Ontario,,42.0
56,2001-2002,Utah Jazz,,,,87.0,53.8,31.3,,1.9,2001,Salt Lake city,,766.108,Utah,47.342,44.0
57,2001-2002,Washington Wizards,,,,99.0,53.2,33.1,,12.7,2001,Washington city,574.504,847.634,District of Columbia,41.169,37.0
58,2002-2003,Atlanta Hawks,,17.0,61.0,78.0,59.0,27.4,86.4,-8.4,2002,Atlanta city,407.646,528.655,Georgia,42.939,35.0
59,2002-2003,Boston Celtics,,37.0,60.0,97.0,56.0,15.4,71.4,25.6,2002,Boston city,599.301,709.049,Massachusetts,49.855,44.0
60,2002-2003,Brooklyn Nets,,42.0,52.0,94.0,63.0,32.6,95.6,-1.6,2002,Brooklyn city,11.465,,New York,41.966,49.0
61,2002-2003,Chicago Bulls,,35.0,84.0,119.0,48.0,22.0,70.0,49.0,2002,Chicago city,2847.266,804.309,Illinois,42.71,30.0
62,2002-2003,Cleveland Cavaliers,,15.0,57.0,72.0,53.0,15.2,68.2,3.8,2002,Cleveland city,460.375,471.374,Ohio,42.684,17.0
63,2002-2003,Dallas Mavericks,,48.0,69.0,117.0,75.0,59.7,134.7,-17.7,2002,Dallas city,1190.681,816.429,Texas,40.149,60.0
64,2002-2003,Denver Nuggets,,22.0,53.0,75.0,52.0,15.1,67.1,7.9,2002,Denver city,556.79,607.813,Colorado,48.294,17.0
65,2002-2003,Detroit Pistons,,28.0,74.0,102.0,51.0,27.5,78.5,23.5,2002,Detroit city,905.996,839.278,Michigan,42.715,50.0
66,2002-2003,Golden State Warriors,,23.0,47.0,70.0,51.0,11.2,62.2,7.8,2002,San Francisco city,772.723,634.935,California,47.437,38.0
67,2002-2003,Houston Rockets,,33.0,49.0,82.0,53.0,13.8,66.8,15.2,2002,Houston city,1990.408,565.166,Texas,40.149,43.0
68,2002-2003,Indiana Pacers,,35.0,59.0,94.0,57.0,26.9,83.9,10.1,2002,Indianapolis city,,670.461,Indiana,41.047,48.0
69,2002-2003,Los Angeles Clippers,,25.0,47.0,72.0,46.0,10.1,56.1,15.9,2002,Los Angeles city,3762.432,706.471,California,47.437,27.0
70,2002-2003,Los Angeles Lakers,,61.0,88.0,149.0,66.0,60.2,126.2,22.8,2002,Los Angeles city,3762.432,777.888,California,47.437,50.0
71,2002-2003,Memphis Grizzlies,,25.0,38.0,63.0,54.0,28.7,82.7,-19.7,2002,Memphis city,678.477,611.322,Tennessee,37.03,28.0
72,2002-2003,Miami Heat,,31.0,60.0,91.0,49.0,34.1,83.1,7.9,2002,Miami city,371.246,628.242,Florida,38.024,25.0
73,2002-2003,Milwaukee Bucks,,24.0,46.0,70.0,62.0,23.1,85.1,-15.1,2002,Milwaukee city,595.181,665.966,Wisconsin,45.903,42.0
74,2002-2003,Minnesota Timberwolves,,26.0,59.0,85.0,56.0,22.1,78.1,6.9,2002,Minneapolis city,381.535,643.684,Minnesota,54.622,51.0
75,2002-2003,New Orleans Pelicans,,31.0,49.0,80.0,48.0,10.1,58.1,21.9,2002,New Orleans city,489.722,641.683,Louisiana,34.008,47.0
76,2002-2003,New York Knicks,,66.0,94.0,160.0,80.0,66.5,146.5,13.5,2002,New York city,8072.0,779.479,New York,41.966,37.0
77,2002-2003,Oklahoma City Thunder,,23.0,47.0,70.0,56.0,11.6,67.6,2.4,2002,Oklahoma city,,,Oklahoma,36.458,40.0
78,2002-2003,Orlando Magic,,28.0,52.0,80.0,54.0,12.9,66.9,13.1,2002,Orlando city,205.278,605.901,Florida,38.024,42.0
79,2002-2003,Philadelphia 76ers,,41.0,68.0,109.0,61.0,46.0,107.0,2.0,2002,Philadelphia city,1498.493,807.097,Pennsylvania,42.498,48.0
80,2002-2003,Phoenix Suns,,30.0,79.0,109.0,58.0,29.5,87.5,21.5,2002,Phoenix city,1357.196,666.559,Arizona,39.734,44.0
81,2002-2003,Portland Trail Blazers,,42.0,55.0,97.0,100.0,82.1,182.1,-85.1,2002,Portland city,540.833,796.258,Oregon,41.802,50.0
82,2002-2003,Sacramento Kings,,46.0,56.0,102.0,73.0,45.8,118.8,-16.8,2002,Sacramento city,431.196,709.997,California,47.437,59.0
83,2002-2003,San Antonio Spurs,,41.0,64.0,105.0,56.0,30.5,86.5,18.5,2002,San Antonio city,1175.718,735.97,Texas,40.149,60.0
84,2002-2003,Toronto Raptors,,32.0,64.0,96.0,58.0,27.4,85.4,10.6,2002,Toronto city,550.5,777.507,Ontario,,24.0
85,2002-2003,Utah Jazz,,36.0,49.0,85.0,53.0,18.2,71.2,13.8,2002,Salt Lake city,,786.034,Utah,47.861,47.0
86,2002-2003,Washington Wizards,,38.0,60.0,98.0,49.0,20.5,69.5,28.5,2002,Washington city,573.158,827.093,District of Columbia,39.07,37.0
87,2003-2004,Atlanta Hawks,,20.0,63.0,83.0,59.0,19.3,,4.7,2003,Atlanta city,403.08,565.728,Georgia,42.438,28.0
88,2003-2004,Boston Celtics,,39.0,65.0,104.0,54.0,24.6,,25.4,2003,Boston city,595.864,648.099,Massachusetts,50.955,36.0
89,2003-2004,Brooklyn Nets,,38.0,55.0,93.0,67.0,33.4,,-7.4,2003,Brooklyn city,11.43,,New York,42.788,47.0
90,2003-2004,Chicago Bulls,,35.0,88.0,123.0,57.0,29.2,,36.8,2003,Chicago city,2819.117,809.177,Illinois,45.153,23.0
91,2003-2004,Cleveland Cavaliers,,27.0,66.0,93.0,50.0,21.1,,21.9,2003,Cleveland city,452.228,749.79,Ohio,43.52,35.0
92,2003-2004,Dallas Mavericks,,45.0,72.0,117.0,83.0,67.6,,-33.6,2003,Dallas city,1181.976,825.594,Texas,39.271,52.0
93,2003-2004,Denver Nuggets,,27.0,62.0,89.0,43.0,20.8,,25.2,2003,Denver city,552.588,721.476,Colorado,49.94,43.0
94,2003-2004,Detroit Pistons,,40.0,81.0,121.0,57.0,41.0,,23.0,2003,Detroit city,884.411,872.902,Michigan,45.022,54.0
95,2003-2004,Golden State Warriors,,24.0,52.0,76.0,56.0,11.9,,8.1,2003,San Francisco city,766.16,645.817,California,49.3,37.0
96,2003-2004,Houston Rockets,,45.0,80.0,125.0,59.0,30.5,,35.5,2003,Houston city,1992.464,622.625,Texas,39.271,45.0
97,2003-2004,Indiana Pacers,,39.0,65.0,104.0,61.0,40.4,,2.6,2003,Indianapolis city,,662.247,Indiana,42.425,61.0
98,2003-2004,Los Angeles Clippers,,25.0,52.0,77.0,42.0,12.6,,22.4,2003,Los Angeles city,3784.279,646.034,California,49.3,28.0
99,2003-2004,Los Angeles Lakers,,72.0,98.0,170.0,69.0,65.2,,35.8,2003,Los Angeles city,3784.279,777.757,California,49.3,56.0
100,2003-2004,Memphis Grizzlies,,28.0,47.0,75.0,61.0,18.1,,-4.1,2003,Memphis city,675.101,603.372,Tennessee,37.523,50.0
